449, 1373, 3/8, 92, 1168

461, 1381, 3/8, 95, 1200

463, 1409, 3/8, 95, 1210

487, 1459, 3/8, 100, 1278

509, 1549, 3/8, 105, 1346

521, 1601, 3/8, 108, 1384

557, 1669, 3/8, 116, 1488

569, 1753, 3/8, 119, 1532

571, 1723, 3/8, 120, 1532

593, 1789, 3/8, 125, 1600

607, 1861, 3/8, 128, 1646

617, 1877, 3/8, 130, 1676

631, 1907, 3/8, 133, 1718

641, 1999, 3/8, 135, 1756

653, 1973, 3/8, 139, 1786

677, 2029, 3/8, 144, 1858

691, 2129, 3/8, 147, 1908

701, 2111, 3/8, 150, 1934

739, 2239, 3/8, 159, 2054

751, 2251, 3/8, 162, 2090

773, 2339, 3/8, 167, 2160

797, 2389, 3/8, 172, 2234

809, 2521, 3/8, 174, 2284

811, 2503, 3/8, 175, 2288

821, 2473, 3/8, 178, 2312

823, 2467, 3/8, 178, 2316

857, 2591, 3/8, 186, 2428

859, 2579, 3/8, 187, 2432

881, 2657, 3/8, 192, 2504

907, 2741, 3/8, 198, 2588

929, 2801, 3/8, 203, 2658

941, 2833, 3/8, 206, 2696

